timestamp_ns,timestamp_sec,relative_to_start_sec,px,py,pz,qx,qy,qz,qw,frame_id,child_frame_id,valid
760000000,0.760000000,-35.003,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
770000000,0.770000000,-34.993,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
780000000,0.780000000,-34.983,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
790000000,0.790000000,-34.973,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
800000000,0.800000000,-34.963,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
810000000,0.810000000,-34.953,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
820000000,0.820000000,-34.943,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
830000000,0.830000000,-34.933,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
840000000,0.840000000,-34.923,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
850000000,0.850000000,-34.913,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
860000000,0.860000000,-34.903,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
870000000,0.870000000,-34.893,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
880000000,0.880000000,-34.883,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
890000000,0.890000000,-34.873,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
900000000,0.900000000,-34.863,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
910000000,0.910000000,-34.853,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
920000000,0.920000000,-34.843,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
930000000,0.930000000,-34.833,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
940000000,0.940000000,-34.823,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
950000000,0.950000000,-34.813,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
960000000,0.960000000,-34.803,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
970000000,0.970000000,-34.793,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
980000000,0.980000000,-34.783,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
990000000,0.990000000,-34.773,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1000000000,1.000000000,-34.763,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
