plot,panel,series,source,row,x_column,y_column,x,y
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,33,est_aligned_x_m,est_aligned_y_m,0.7303756653483775,0.36003491977226004
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,34,est_aligned_x_m,est_aligned_y_m,0.7305238530954874,0.35337278451115783
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,35,est_aligned_x_m,est_aligned_y_m,0.7434691719759492,0.3989889656923164
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,36,est_aligned_x_m,est_aligned_y_m,0.7432657538706349,0.40039106407479463
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,37,est_aligned_x_m,est_aligned_y_m,0.7397129703146219,0.40392674147815816
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,38,est_aligned_x_m,est_aligned_y_m,0.7315842134957842,0.4083942040291842
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,39,est_aligned_x_m,est_aligned_y_m,0.7193017895804483,0.4151860936870623
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,40,est_aligned_x_m,est_aligned_y_m,0.7048235842087727,0.42744292297160463
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,41,est_aligned_x_m,est_aligned_y_m,0.6946029268558951,0.4323794638510973
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,42,est_aligned_x_m,est_aligned_y_m,0.6743800487813396,0.44059477234444544
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,43,est_aligned_x_m,est_aligned_y_m,0.6515160365922561,0.4483139698542491
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,44,est_aligned_x_m,est_aligned_y_m,0.6251583412646191,0.4393938010576584
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,45,est_aligned_x_m,est_aligned_y_m,0.6038697108001752,0.4443853107407799
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,46,est_aligned_x_m,est_aligned_y_m,0.5833717780044136,0.4344840256767884
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,47,est_aligned_x_m,est_aligned_y_m,0.5616939223107431,0.4289004424675437
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,48,est_aligned_x_m,est_aligned_y_m,0.5475967689665286,0.4072560551447568
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,49,est_aligned_x_m,est_aligned_y_m,0.5370278791944532,0.3855373554840667
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,50,est_aligned_x_m,est_aligned_y_m,0.5269222236121535,0.35947475988669697
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,51,est_aligned_x_m,est_aligned_y_m,0.5161628164344294,0.33491994507489115
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,52,est_aligned_x_m,est_aligned_y_m,0.505865861002486,0.3180532143031224
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,53,est_aligned_x_m,est_aligned_y_m,0.4896387778969613,0.2946744800030723
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,54,est_aligned_x_m,est_aligned_y_m,0.45785571109640605,0.22248891144332067
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,55,est_aligned_x_m,est_aligned_y_m,0.42377053309251916,0.14972179181278292
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,56,est_aligned_x_m,est_aligned_y_m,0.39048623177144415,0.08195621933451613
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,57,est_aligned_x_m,est_aligned_y_m,0.35335873030048026,0.00711466746517983
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,58,est_aligned_x_m,est_aligned_y_m,0.3185251146312744,-0.06733172687638939
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,59,est_aligned_x_m,est_aligned_y_m,0.2859607715880128,-0.14490247209870272
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,60,est_aligned_x_m,est_aligned_y_m,0.2629144791588458,-0.17254884600833947
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,61,est_aligned_x_m,est_aligned_y_m,0.22781602273717003,-0.28577841404288434
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,62,est_aligned_x_m,est_aligned_y_m,0.21800712352556276,-0.3000378947850943
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,63,est_aligned_x_m,est_aligned_y_m,0.20991135040568218,-0.30755959601098487
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,64,est_aligned_x_m,est_aligned_y_m,0.2096358855667692,-0.31534716015858827
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,65,est_aligned_x_m,est_aligned_y_m,0.208071944451716,-0.32598576278769614
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,66,est_aligned_x_m,est_aligned_y_m,0.2098335020350835,-0.34456961202597197
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,67,est_aligned_x_m,est_aligned_y_m,0.23407892157084823,-0.3192234721961666
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,68,est_aligned_x_m,est_aligned_y_m,0.25961864606392526,-0.26883292980292434
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,69,est_aligned_x_m,est_aligned_y_m,0.27097309611669596,-0.28046064590904485
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,70,est_aligned_x_m,est_aligned_y_m,0.2880703830331257,-0.27236596806611596
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,71,est_aligned_x_m,est_aligned_y_m,0.2985543955480549,-0.2720147013149029
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,72,est_aligned_x_m,est_aligned_y_m,0.3049126124641059,-0.27096537603252885
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,73,est_aligned_x_m,est_aligned_y_m,0.30788786108059524,-0.2794354644073398
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,74,est_aligned_x_m,est_aligned_y_m,0.30788047827321247,-0.2933383598480875
aligned_trajectory_vs_gt,x_m_y_m,est_aligned_,aligned_trajectory.csv,75,est_aligned_x_m,est_aligned_y_m,0.3031384797279372,-0.30692640731481263
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,0,gt_x_m,gt_y_m,0.0,0.0
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,1,gt_x_m,gt_y_m,0.00016394186437868993,3.7259043473308135e-18
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,2,gt_x_m,gt_y_m,0.001344368112874519,3.4652670202742284e-14
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,3,gt_x_m,gt_y_m,0.004412688862450398,5.380481117480116e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,4,gt_x_m,gt_y_m,0.010031157260622092,1.7738383939595684e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,5,gt_x_m,gt_y_m,0.01866886338137367,2.645707179741638e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,6,gt_x_m,gt_y_m,0.030617847020553413,3.212284634616365e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,7,gt_x_m,gt_y_m,0.046009191624548154,3.5284935558038187e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,8,gt_x_m,gt_y_m,0.06482910069534793,3.64454382589361e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,9,gt_x_m,gt_y_m,0.11207137544286709,3.4501993938531935e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,10,gt_x_m,gt_y_m,0.1398862242054678,3.212879498231925e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,11,gt_x_m,gt_y_m,0.2017551432798863,2.6000591314734726e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,12,gt_x_m,gt_y_m,0.26839860618855726,1.935628188347407e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,13,gt_x_m,gt_y_m,0.3351504217152293,1.3221493710406372e-11
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,14,gt_x_m,gt_y_m,0.39733321235556535,8.119957041579178e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,15,gt_x_m,gt_y_m,0.4507701594371465,4.225528326926695e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,16,gt_x_m,gt_y_m,0.4922966931987815,1.4913662887119216e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,17,gt_x_m,gt_y_m,0.5202721889612189,-2.4967313756399813e-13
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,18,gt_x_m,gt_y_m,0.5350917035438809,-1.2131775137078599e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,19,gt_x_m,gt_y_m,0.5396977665511707,-1.616291146439559e-12
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,20,gt_x_m,gt_y_m,0.5399540459290526,7.606395443578261e-05
aligned_trajectory_vs_gt,x_m_y_m,gt_,aligned_trajectory.csv,21,gt_x_m,gt_y_m,0.5410623065161941,0.002043423994840642
