start_timestamp_ns,end_timestamp_ns,actual_delta_ns,rotation_error_deg,rotation_error_rad
38800000000,39800000000,1000000000,0.16297625248018757,0.002844472208340848
38900000000,39900000000,1000000000,0.377148126888772,0.006582476581938429
39100000000,40100000000,1000000000,0.347577938534681,0.006066379434724658
39300000000,40300000000,1000000000,0.21361492045192404,0.003728283693271848
39500000000,40500000000,1000000000,0.36169260854522056,0.006312726899241077
39900000000,40900000000,1000000000,0.47981584606381095,0.008374366317055775
40100000000,41100000000,1000000000,0.4256533492966073,0.007429052417367287
40300000000,41300000000,1000000000,0.41315408350508964,0.007210899075223409
40500000000,41500000000,1000000000,0.27287585866484365,0.004762582182908219
40700000000,41700000000,1000000000,0.15135591295419848,0.002641659023412701
40900000000,41900000000,1000000000,0.33851245041234695,0.005908156818689491
41100000000,42100000000,1000000000,0.15950757181834338,0.0027839323100914107
41300000000,42300000000,1000000000,0.18518892456813985,0.0032321564719414585
41500000000,42500000000,1000000000,0.28517808200773337,0.004977296485557349
41700000000,42700000000,1000000000,0.5635554819209975,0.009835898677184785
41900000000,42900000000,1000000000,0.30626136858168906,0.005345269253414391
42100000000,43100000000,1000000000,0.6677792283898921,0.01165494621183081
42300000000,43300000000,1000000000,0.9726218191979878,0.016975453121741882
42500000000,43500000000,1000000000,0.9324056827466967,0.016273549128235542
42700000000,43700000000,1000000000,0.9114869524077176,0.015908448408483527
42900000000,43900000000,1000000000,0.9232821770174197,0.016114313913935092
43100000000,44100000000,1000000000,0.635275155654423,0.011087643122289154
43300000000,44300000000,1000000000,0.3785461880373458,0.006606877352125256
43500000000,44500000000,1000000000,0.3890893550657541,0.0067908903303586865
43700000000,44700000000,1000000000,0.5426223635307745,0.00947054683856562
43900000000,44900000000,1000000000,0.26646629350178624,0.004650714167191741
44100000000,45100000000,1000000000,0.19038616751202322,0.003322865473338266
44300000000,45300000000,1000000000,0.17145519287022784,0.0029924576352273824
44500000000,45500000000,1000000000,0.4778221436439025,0.008339569645523395
44700000000,45700000000,1000000000,1.0704185296629023,0.018682327716974232
44900000000,45900000000,1000000000,1.634845505852322,0.02853343683855524
46000000000,47000000000,1000000000,3.260269925845039,0.0569024447097473
47000000000,48000000000,1000000000,1.0653108797734783,0.01859318240936466
48000000000,49000000000,1000000000,2.792498847948982,0.04873829925485824
48200000000,49200000000,1000000000,3.452382612599824,0.060255443628470795
48400000000,49400000000,1000000000,4.052825528899545,0.07073514948817766
48600000000,49600000000,1000000000,4.432172870532834,0.07735600960836632
48800000000,49800000000,1000000000,4.712332013602503,0.0822457090844979
49000000000,50000000000,1000000000,4.49955133073219,0.07853198558376905
50500000000,51500000000,1000000000,0.3838363050662234,0.00669920731209499
50900000000,51900000000,1000000000,0.8279780346068709,0.014450942838081451
51200000000,52200000000,1000000000,1.1193134735109749,0.019535705474700845
51900000000,52900000000,1000000000,2.096818787255505,0.03659639165528308
52700000000,53700000000,1000000000,0.9114072209953281,0.015907056832820066
