class_id,class_name,precision,recall,ap50,ap50_95,ap75,instances,images,metric_source,train_instances,validation_instances,diagnostic_tp,diagnostic_fn,diagnostic_fp,tiny_small_instances,analysis_confidence,ap50_to_ap5095_drop
0,Crack,0.46345548044577173,0.3907103825136612,0.37945040734324964,0.21528315054090097,0.23411647275132685,366,146,new_validation_replay,3876,366,153,213,155,66,0.18618618618618618,0.16416725680234867
1,Breakage,0.45136603051099844,0.38046031000469704,0.364852687240372,0.19493097158316824,0.19069985865604638,2129,761,new_validation_replay,13383,2129,810,1319,984,570,0.18618618618618618,0.16992171565720376
2,Honeycombing,0.3407275283081562,0.5594989561586639,0.4021166632173683,0.25719773591981776,0.28451665459268183,479,302,new_validation_replay,4945,479,270,209,516,49,0.18618618618618618,0.14491892729755051
3,Hole,0.5504310295847963,0.41228070175438597,0.4185572609968833,0.18675852536428042,0.12663989598660874,228,106,new_validation_replay,927,228,94,134,76,205,0.18618618618618618,0.23179873563260286
4,Exposed Reinforcement,0.6062583578213946,0.48681235870384326,0.5183876920011132,0.29981573193895605,0.3084060261723492,1327,332,new_validation_replay,10604,1327,658,669,407,1074,0.18618618618618618,0.21857196006215718
5,Seepage,0.42115009912095114,0.24867724867724866,0.24717793355008633,0.14797229467314005,0.1561839247189803,378,167,new_validation_replay,3864,378,94,284,129,100,0.18618618618618618,0.09920563887694628
