class_name,precision,recall,ap50,ap50_95,source
Crack,0.463,0.391,0.379,0.215,"Historical trainer.log, retained at supplied rounded precision"
Breakage,0.451,0.38,0.365,0.195,"Historical trainer.log, retained at supplied rounded precision"
Honeycombing,0.341,0.559,0.402,0.257,"Historical trainer.log, retained at supplied rounded precision"
Hole,0.55,0.412,0.419,0.187,"Historical trainer.log, retained at supplied rounded precision"
Exposed Reinforcement,0.606,0.487,0.518,0.3,"Historical trainer.log, retained at supplied rounded precision"
Seepage,0.421,0.249,0.247,0.148,"Historical trainer.log, retained at supplied rounded precision"
