min_input_side_bin,instances,tp,fn,recall,fn_rate,tp_at_floor,recall_at_floor,share_of_all_fn
16_to_32px,942,399,543,0.42356687898089174,0.5764331210191083,821,0.8715498938428875,0.192008486562942
32px_plus,2956,1320,1636,0.4465493910690122,0.5534506089309879,2576,0.871447902571042,0.5785007072135785
4_to_8px,326,85,241,0.2607361963190184,0.7392638036809815,204,0.6257668711656442,0.08521923620933522
8_to_16px,611,270,341,0.44189852700491,0.5581014729950899,517,0.8461538461538461,0.12057991513437058
<4px,72,5,67,0.06944444444444445,0.9305555555555556,20,0.2777777777777778,0.02369165487977369
