resolution,instances,tp,fn,recall,fn_rate,tp_at_floor,recall_at_floor,share_of_all_fn
12MP_plus,3978,1639,2339,0.4120160884866767,0.5879839115133233,3313,0.8328305681246858,0.8270862800565771
1_to_4MP,344,188,156,0.5465116279069767,0.4534883720930233,332,0.9651162790697675,0.055162659123055166
4_to_12MP,401,167,234,0.4164588528678304,0.5835411471321696,328,0.8179551122194514,0.08274398868458274
<1MP,184,85,99,0.46195652173913043,0.5380434782608696,165,0.8967391304347826,0.03500707213578501
