start_epoch,end_epoch,epochs,train/box_loss_mean,train/cls_loss_mean,train/l1_loss_mean,metrics/precision(B)_mean,metrics/recall(B)_mean,metrics/mAP50(B)_mean,metrics/mAP50-95(B)_mean,val/box_loss_mean,val/cls_loss_mean,val/l1_loss_mean,lr/pg0_mean,lr/pg1_mean,lr/pg2_mean
1,10,10,1.9138870000000001,2.917569,0.015373,0.351579,0.274792,0.235465,0.11588699999999999,1.8113000000000001,2.621034,0.018566,0.008557324,0.008557324,0.018562138
21,30,10,1.769421,2.2945320000000002,0.013426,0.427764,0.369678,0.343128,0.184136,1.661514,2.1512759999999997,0.016313,0.0075745,0.0075745,0.0075745
41,50,10,1.680851,2.030513,0.012365,0.45046600000000003,0.403289,0.373929,0.207549,1.612248,2.052903,0.015547,0.0055945,0.0055945,0.0055945
53,62,10,1.6258219999999999,1.86891,0.011708,0.468236,0.412532,0.38291200000000003,0.213482,1.615738,2.055969,0.015441,0.0044065,0.0044065,0.0044065
63,72,10,1.584994,1.735412,0.011199,0.461758,0.411895,0.378837,0.210669,1.629598,2.097279,0.015594,0.0034165,0.0034165,0.0034165
73,82,10,1.539827,1.604754,0.01076,0.46616,0.414894,0.381014,0.209341,1.641983,2.142218,0.015666,0.0024265,0.0024265,0.0024265
83,90,8,1.49884,1.4924425,0.0103075,0.4549625,0.4146125,0.378055,0.20544374999999998,1.65577375,2.206795,0.01590125,0.0015355,0.0015355,0.0015355
91,92,2,1.4374449999999999,1.2108050000000001,0.01128,0.45737,0.419595,0.374535,0.203855,1.65954,2.247255,0.015954999999999997,0.0010405,0.0010405,0.0010405
